time,NODE,la_da_lmp
2013-12-19 01:00:00,LOUISIANA.HUB,33.55
2013-12-19 02:00:00,LOUISIANA.HUB,31.96
2013-12-19 03:00:00,LOUISIANA.HUB,31.42
2013-12-19 04:00:00,LOUISIANA.HUB,31.41
2013-12-19 05:00:00,LOUISIANA.HUB,31.98
2013-12-19 06:00:00,LOUISIANA.HUB,33.87
2013-12-19 07:00:00,LOUISIANA.HUB,37.58
2013-12-19 08:00:00,LOUISIANA.HUB,40.41
2013-12-19 09:00:00,LOUISIANA.HUB,40.98
2013-12-19 10:00:00,LOUISIANA.HUB,37.91
2013-12-19 11:00:00,LOUISIANA.HUB,38.18
2013-12-19 12:00:00,LOUISIANA.HUB,37.33
2013-12-19 13:00:00,LOUISIANA.HUB,36.48
2013-12-19 14:00:00,LOUISIANA.HUB,34.66
2013-12-19 15:00:00,LOUISIANA.HUB,32.77
2013-12-19 16:00:00,LOUISIANA.HUB,32.6
2013-12-19 17:00:00,LOUISIANA.HUB,32.61
2013-12-19 18:00:00,LOUISIANA.HUB,36.74
2013-12-19 19:00:00,LOUISIANA.HUB,39.13
2013-12-19 20:00:00,LOUISIANA.HUB,38.45
2013-12-19 21:00:00,LOUISIANA.HUB,37.79
2013-12-19 22:00:00,LOUISIANA.HUB,36.43
2013-12-19 23:00:00,LOUISIANA.HUB,35.62
2013-12-20 00:00:00,LOUISIANA.HUB,33.08
2013-12-20 01:00:00,LOUISIANA.HUB,31.64
2013-12-20 02:00:00,LOUISIANA.HUB,28.49
2013-12-20 03:00:00,LOUISIANA.HUB,27.09
2013-12-20 04:00:00,LOUISIANA.HUB,27.02
2013-12-20 05:00:00,LOUISIANA.HUB,27.31
2013-12-20 06:00:00,LOUISIANA.HUB,27.15
2013-12-20 07:00:00,LOUISIANA.HUB,33.28
2013-12-20 08:00:00,LOUISIANA.HUB,40.81
2013-12-20 09:00:00,LOUISIANA.HUB,40.56
2013-12-20 10:00:00,LOUISIANA.HUB,37.39
2013-12-20 11:00:00,LOUISIANA.HUB,36.78
2013-12-20 12:00:00,LOUISIANA.HUB,35.71
2013-12-20 13:00:00,LOUISIANA.HUB,35.34
2013-12-20 14:00:00,LOUISIANA.HUB,34.1
2013-12-20 15:00:00,LOUISIANA.HUB,32.89
2013-12-20 16:00:00,LOUISIANA.HUB,32.8
2013-12-20 17:00:00,LOUISIANA.HUB,32.64
2013-12-20 18:00:00,LOUISIANA.HUB,37.53
2013-12-20 19:00:00,LOUISIANA.HUB,39.18
2013-12-20 20:00:00,LOUISIANA.HUB,38.34
2013-12-20 21:00:00,LOUISIANA.HUB,37.89
2013-12-20 22:00:00,LOUISIANA.HUB,37.25
2013-12-20 23:00:00,LOUISIANA.HUB,36.22
2013-12-21 00:00:00,LOUISIANA.HUB,36.55
2013-12-21 01:00:00,LOUISIANA.HUB,35.78
2013-12-21 02:00:00,LOUISIANA.HUB,30.2
2013-12-21 03:00:00,LOUISIANA.HUB,27.34
2013-12-21 04:00:00,LOUISIANA.HUB,27.9
2013-12-21 05:00:00,LOUISIANA.HUB,27.81
2013-12-21 06:00:00,LOUISIANA.HUB,27.95
2013-12-21 07:00:00,LOUISIANA.HUB,29.03
2013-12-21 08:00:00,LOUISIANA.HUB,29.49
2013-12-21 09:00:00,LOUISIANA.HUB,34.87
2013-12-21 10:00:00,LOUISIANA.HUB,37.11
2013-12-21 11:00:00,LOUISIANA.HUB,36.56
2013-12-21 12:00:00,LOUISIANA.HUB,38.33
2013-12-21 13:00:00,LOUISIANA.HUB,38.6
2013-12-21 14:00:00,LOUISIANA.HUB,38.39
2013-12-21 15:00:00,LOUISIANA.HUB,37.74
2013-12-21 16:00:00,LOUISIANA.HUB,36.74
2013-12-21 17:00:00,LOUISIANA.HUB,36.32
2013-12-21 18:00:00,LOUISIANA.HUB,37.42
2013-12-21 19:00:00,LOUISIANA.HUB,39.97
2013-12-21 20:00:00,LOUISIANA.HUB,40.35
2013-12-21 21:00:00,LOUISIANA.HUB,39.79
2013-12-21 22:00:00,LOUISIANA.HUB,38.87
2013-12-21 23:00:00,LOUISIANA.HUB,38.29
2013-12-22 00:00:00,LOUISIANA.HUB,32.07
2013-12-22 01:00:00,LOUISIANA.HUB,26.79
2013-12-22 02:00:00,LOUISIANA.HUB,26.85
2013-12-22 03:00:00,LOUISIANA.HUB,26.1
2013-12-22 04:00:00,LOUISIANA.HUB,25.83
2013-12-22 05:00:00,LOUISIANA.HUB,26.0
2013-12-22 06:00:00,LOUISIANA.HUB,26.0
2013-12-22 07:00:00,LOUISIANA.HUB,25.55
2013-12-22 08:00:00,LOUISIANA.HUB,25.66
2013-12-22 09:00:00,LOUISIANA.HUB,26.55
2013-12-22 10:00:00,LOUISIANA.HUB,28.02
2013-12-22 11:00:00,LOUISIANA.HUB,33.16
2013-12-22 12:00:00,LOUISIANA.HUB,32.96
2013-12-22 13:00:00,LOUISIANA.HUB,28.2
2013-12-22 14:00:00,LOUISIANA.HUB,28.13
2013-12-22 15:00:00,LOUISIANA.HUB,27.64
2013-12-22 16:00:00,LOUISIANA.HUB,27.32
2013-12-22 17:00:00,LOUISIANA.HUB,27.68
2013-12-22 18:00:00,LOUISIANA.HUB,36.07
2013-12-22 19:00:00,LOUISIANA.HUB,41.2
2013-12-22 20:00:00,LOUISIANA.HUB,41.39
2013-12-22 21:00:00,LOUISIANA.HUB,39.82
2013-12-22 22:00:00,LOUISIANA.HUB,37.06
2013-12-22 23:00:00,LOUISIANA.HUB,35.16
2013-12-23 00:00:00,LOUISIANA.HUB,28.33
2013-12-23 01:00:00,LOUISIANA.HUB,31.12
2013-12-23 02:00:00,LOUISIANA.HUB,29.96
2013-12-23 03:00:00,LOUISIANA.HUB,31.08
2013-12-23 04:00:00,LOUISIANA.HUB,31.55
2013-12-23 05:00:00,LOUISIANA.HUB,34.85
2013-12-23 06:00:00,LOUISIANA.HUB,33.92
2013-12-23 07:00:00,LOUISIANA.HUB,34.97
2013-12-23 08:00:00,LOUISIANA.HUB,43.03
2013-12-23 09:00:00,LOUISIANA.HUB,40.6
2013-12-23 10:00:00,LOUISIANA.HUB,41.41
