time,NODE,mi_rt_lmp,mi_da_lmp
2013-01-01 01:00:00,MICHIGAN.HUB,24.6,25.32
2013-01-01 02:00:00,MICHIGAN.HUB,23.36,24.31
2013-01-01 03:00:00,MICHIGAN.HUB,23.61,23.79
2013-01-01 04:00:00,MICHIGAN.HUB,23.46,23.82
2013-01-01 05:00:00,MICHIGAN.HUB,23.5,23.77
2013-01-01 06:00:00,MICHIGAN.HUB,23.3,23.84
2013-01-01 07:00:00,MICHIGAN.HUB,23.01,24.39
2013-01-01 08:00:00,MICHIGAN.HUB,23.49,24.88
2013-01-01 09:00:00,MICHIGAN.HUB,23.48,25.59
2013-01-01 10:00:00,MICHIGAN.HUB,24.75,26.02
2013-01-01 11:00:00,MICHIGAN.HUB,33.76,26.9
2013-01-01 12:00:00,MICHIGAN.HUB,26.32,26.82
2013-01-01 13:00:00,MICHIGAN.HUB,26.09,26.64
2013-01-01 14:00:00,MICHIGAN.HUB,24.85,25.83
2013-01-01 15:00:00,MICHIGAN.HUB,24.25,25.65
2013-01-01 16:00:00,MICHIGAN.HUB,24.21,25.41
2013-01-01 17:00:00,MICHIGAN.HUB,24.18,25.67
2013-01-01 18:00:00,MICHIGAN.HUB,27.72,36.36
2013-01-01 19:00:00,MICHIGAN.HUB,31.0,39.69
2013-01-01 20:00:00,MICHIGAN.HUB,28.82,36.05
2013-01-01 21:00:00,MICHIGAN.HUB,29.58,34.01
2013-01-01 22:00:00,MICHIGAN.HUB,26.56,30.04
2013-01-01 23:00:00,MICHIGAN.HUB,25.16,25.4
2013-01-02 00:00:00,MICHIGAN.HUB,23.12,24.11
2013-01-02 01:00:00,MICHIGAN.HUB,23.99,23.88
2013-01-02 02:00:00,MICHIGAN.HUB,24.36,25.51
2013-01-02 03:00:00,MICHIGAN.HUB,23.67,25.11
2013-01-02 04:00:00,MICHIGAN.HUB,23.71,25.14
2013-01-02 05:00:00,MICHIGAN.HUB,23.66,24.81
2013-01-02 06:00:00,MICHIGAN.HUB,23.94,26.32
2013-01-02 07:00:00,MICHIGAN.HUB,24.77,33.33
2013-01-02 08:00:00,MICHIGAN.HUB,26.64,39.66
2013-01-02 09:00:00,MICHIGAN.HUB,28.57,41.84
2013-01-02 10:00:00,MICHIGAN.HUB,38.05,40.23
2013-01-02 11:00:00,MICHIGAN.HUB,32.7,40.47
2013-01-02 12:00:00,MICHIGAN.HUB,43.95,38.52
2013-01-02 13:00:00,MICHIGAN.HUB,30.38,35.31
2013-01-02 14:00:00,MICHIGAN.HUB,28.73,31.93
2013-01-02 15:00:00,MICHIGAN.HUB,27.21,32.24
2013-01-02 16:00:00,MICHIGAN.HUB,26.4,30.83
2013-01-02 17:00:00,MICHIGAN.HUB,26.37,36.15
2013-01-02 18:00:00,MICHIGAN.HUB,31.99,52.75
2013-01-02 19:00:00,MICHIGAN.HUB,33.68,61.25
2013-01-02 20:00:00,MICHIGAN.HUB,35.62,44.81
2013-01-02 21:00:00,MICHIGAN.HUB,31.08,47.86
2013-01-02 22:00:00,MICHIGAN.HUB,29.74,40.08
2013-01-02 23:00:00,MICHIGAN.HUB,27.57,32.6
2013-01-03 00:00:00,MICHIGAN.HUB,24.05,26.71
2013-01-03 01:00:00,MICHIGAN.HUB,24.98,25.38
2013-01-03 02:00:00,MICHIGAN.HUB,31.51,25.97
2013-01-03 03:00:00,MICHIGAN.HUB,25.02,25.63
2013-01-03 04:00:00,MICHIGAN.HUB,30.76,25.72
2013-01-03 05:00:00,MICHIGAN.HUB,26.9,25.31
2013-01-03 06:00:00,MICHIGAN.HUB,42.25,26.73
2013-01-03 07:00:00,MICHIGAN.HUB,27.37,28.76
2013-01-03 08:00:00,MICHIGAN.HUB,42.15,33.79
2013-01-03 09:00:00,MICHIGAN.HUB,47.94,32.44
2013-01-03 10:00:00,MICHIGAN.HUB,51.74,32.29
2013-01-03 11:00:00,MICHIGAN.HUB,29.28,31.42
2013-01-03 12:00:00,MICHIGAN.HUB,27.23,29.85
2013-01-03 13:00:00,MICHIGAN.HUB,27.78,29.25
2013-01-03 14:00:00,MICHIGAN.HUB,28.87,27.86
2013-01-03 15:00:00,MICHIGAN.HUB,26.52,26.89
2013-01-03 16:00:00,MICHIGAN.HUB,26.0,26.65
2013-01-03 17:00:00,MICHIGAN.HUB,25.53,27.01
2013-01-03 18:00:00,MICHIGAN.HUB,29.55,35.25
2013-01-03 19:00:00,MICHIGAN.HUB,41.03,45.59
2013-01-03 20:00:00,MICHIGAN.HUB,27.12,36.43
2013-01-03 21:00:00,MICHIGAN.HUB,26.71,35.51
2013-01-03 22:00:00,MICHIGAN.HUB,24.87,31.33
2013-01-03 23:00:00,MICHIGAN.HUB,24.14,28.14
2013-01-04 00:00:00,MICHIGAN.HUB,23.48,25.57
2013-01-04 01:00:00,MICHIGAN.HUB,22.08,25.57
2013-01-04 02:00:00,MICHIGAN.HUB,21.62,25.22
2013-01-04 03:00:00,MICHIGAN.HUB,22.23,24.95
2013-01-04 04:00:00,MICHIGAN.HUB,24.04,25.21
2013-01-04 05:00:00,MICHIGAN.HUB,23.29,25.04
2013-01-04 06:00:00,MICHIGAN.HUB,21.4,25.87
2013-01-04 07:00:00,MICHIGAN.HUB,27.74,31.4
2013-01-04 08:00:00,MICHIGAN.HUB,26.24,37.36
2013-01-04 09:00:00,MICHIGAN.HUB,25.16,35.6
2013-01-04 10:00:00,MICHIGAN.HUB,24.94,36.16
2013-01-04 11:00:00,MICHIGAN.HUB,26.66,36.17
2013-01-04 12:00:00,MICHIGAN.HUB,28.32,34.23
2013-01-04 13:00:00,MICHIGAN.HUB,29.83,31.06
2013-01-04 14:00:00,MICHIGAN.HUB,27.93,30.19
2013-01-04 15:00:00,MICHIGAN.HUB,27.82,27.1
2013-01-04 16:00:00,MICHIGAN.HUB,26.91,27.97
2013-01-04 17:00:00,MICHIGAN.HUB,25.26,28.04
2013-01-04 18:00:00,MICHIGAN.HUB,36.48,35.52
2013-01-04 19:00:00,MICHIGAN.HUB,28.36,40.44
2013-01-04 20:00:00,MICHIGAN.HUB,28.09,36.41
2013-01-04 21:00:00,MICHIGAN.HUB,25.76,35.66
2013-01-04 22:00:00,MICHIGAN.HUB,25.19,30.79
2013-01-04 23:00:00,MICHIGAN.HUB,25.6,28.87
2013-01-05 00:00:00,MICHIGAN.HUB,24.77,26.2
2013-01-05 01:00:00,MICHIGAN.HUB,24.64,25.67
2013-01-05 02:00:00,MICHIGAN.HUB,25.75,24.21
2013-01-05 03:00:00,MICHIGAN.HUB,25.87,23.98
2013-01-05 04:00:00,MICHIGAN.HUB,26.83,25.3
2013-01-05 05:00:00,MICHIGAN.HUB,31.45,24.75
2013-01-05 06:00:00,MICHIGAN.HUB,29.6,25.43
2013-01-05 07:00:00,MICHIGAN.HUB,26.22,26.31
2013-01-05 08:00:00,MICHIGAN.HUB,33.37,28.81
2013-01-05 09:00:00,MICHIGAN.HUB,27.03,34.23
2013-01-05 10:00:00,MICHIGAN.HUB,27.08,36.02
2013-01-05 11:00:00,MICHIGAN.HUB,27.34,34.47
2013-01-05 12:00:00,MICHIGAN.HUB,25.86,34.22
2013-01-05 13:00:00,MICHIGAN.HUB,25.26,31.91
2013-01-05 14:00:00,MICHIGAN.HUB,24.93,29.58
2013-01-05 15:00:00,MICHIGAN.HUB,24.4,28.19
2013-01-05 16:00:00,MICHIGAN.HUB,23.77,27.18
