time,mi_rt_lmp,mi_da_lmp,la_rt_lmp,la_da_lmp
2013-12-19 01:00:00,24.86,27.05,23.25,33.55
2013-12-19 02:00:00,25.58,26.89,24.07,31.96
2013-12-19 03:00:00,26.35,26.68,25.35,31.42
2013-12-19 04:00:00,22.73,26.75,30.12,31.41
2013-12-19 05:00:00,24.26,27.27,25.78,31.98
2013-12-19 06:00:00,23.63,27.66,28.95,33.87
2013-12-19 07:00:00,31.25,37.51,31.9,37.58
2013-12-19 08:00:00,39.61,41.23,39.03,40.41
2013-12-19 09:00:00,35.71,41.77,37.51,40.98
2013-12-19 10:00:00,33.54,42.05,33.51,37.91
2013-12-19 11:00:00,39.86,42.37,34.28,38.18
2013-12-19 12:00:00,30.92,37.84,30.23,37.33
2013-12-19 13:00:00,30.65,35.84,28.23,36.48
2013-12-19 14:00:00,27.77,34.94,27.58,34.66
2013-12-19 15:00:00,30.72,35.86,27.73,32.77
2013-12-19 16:00:00,30.7,36.25,27.09,32.6
2013-12-19 17:00:00,31.11,37.52,27.05,32.61
2013-12-19 18:00:00,47.12,43.35,34.44,36.74
2013-12-19 19:00:00,64.02,45.24,49.67,39.13
2013-12-19 20:00:00,48.12,44.29,42.4,38.45
2013-12-19 21:00:00,40.56,42.97,37.76,37.79
2013-12-19 22:00:00,39.42,42.52,36.66,36.43
2013-12-19 23:00:00,33.55,33.48,31.9,35.62
2013-12-20 00:00:00,34.24,32.03,30.41,33.08
2013-12-20 01:00:00,28.22,27.7,23.01,31.64
2013-12-20 02:00:00,26.9,27.07,25.9,28.49
2013-12-20 03:00:00,26.63,26.61,25.34,27.09
2013-12-20 04:00:00,26.52,26.28,25.23,27.02
2013-12-20 05:00:00,26.78,26.82,25.44,27.31
2013-12-20 06:00:00,27.64,27.37,26.14,27.15
2013-12-20 07:00:00,36.55,35.67,30.01,33.28
2013-12-20 08:00:00,42.94,39.74,42.15,40.81
2013-12-20 09:00:00,40.19,41.63,37.83,40.56
2013-12-20 10:00:00,43.37,41.41,38.83,37.39
2013-12-20 11:00:00,40.64,41.07,37.8,36.78
2013-12-20 12:00:00,35.22,43.83,34.29,35.71
2013-12-20 13:00:00,32.7,39.25,31.85,35.34
2013-12-20 14:00:00,34.53,40.39,33.83,34.1
2013-12-20 15:00:00,36.73,35.58,35.31,32.89
2013-12-20 16:00:00,35.68,35.47,35.42,32.8
2013-12-20 17:00:00,34.47,35.77,34.07,32.64
2013-12-20 18:00:00,35.9,43.74,32.92,37.53
2013-12-20 19:00:00,38.75,46.07,39.5,39.18
2013-12-20 20:00:00,51.98,42.8,39.69,38.34
2013-12-20 21:00:00,33.4,43.79,35.96,37.89
2013-12-20 22:00:00,30.29,43.85,33.97,37.25
2013-12-20 23:00:00,32.05,33.03,33.3,36.22
2013-12-21 00:00:00,30.22,32.86,30.4,36.55
2013-12-21 01:00:00,25.89,28.28,25.71,35.78
2013-12-21 02:00:00,25.79,25.94,25.57,30.2
2013-12-21 03:00:00,24.74,25.62,24.54,27.34
2013-12-21 04:00:00,24.33,25.2,24.06,27.9
2013-12-21 05:00:00,23.79,25.12,23.41,27.81
2013-12-21 06:00:00,24.12,25.36,23.67,27.95
2013-12-21 07:00:00,25.4,26.73,24.91,29.03
2013-12-21 08:00:00,25.33,28.05,25.82,29.49
2013-12-21 09:00:00,29.19,32.26,28.49,34.87
2013-12-21 10:00:00,32.54,35.22,39.71,37.11
2013-12-21 11:00:00,23.12,35.8,38.75,36.56
2013-12-21 12:00:00,24.4,34.05,40.62,38.33
2013-12-21 13:00:00,28.88,31.46,35.86,38.6
2013-12-21 14:00:00,32.32,30.11,33.7,38.39
2013-12-21 15:00:00,31.24,29.12,32.28,37.74
2013-12-21 16:00:00,27.56,28.61,28.92,36.74
2013-12-21 17:00:00,28.59,28.89,29.21,36.32
2013-12-21 18:00:00,34.33,39.76,38.52,37.42
2013-12-21 19:00:00,28.71,39.77,35.43,39.97
2013-12-21 20:00:00,32.55,36.64,34.5,40.35
2013-12-21 21:00:00,28.92,32.92,32.62,39.79
2013-12-21 22:00:00,28.68,29.79,29.27,38.87
2013-12-21 23:00:00,27.22,27.14,28.3,38.29
2013-12-22 00:00:00,26.31,25.96,27.03,32.07
2013-12-22 01:00:00,28.47,24.94,174.55,26.79
2013-12-22 02:00:00,22.87,23.97,23.28,26.85
2013-12-22 03:00:00,23.52,23.26,24.02,26.1
2013-12-22 04:00:00,24.11,22.62,23.79,25.83
2013-12-22 05:00:00,23.1,22.47,22.57,26.0
2013-12-22 06:00:00,23.38,22.46,22.75,26.0
2013-12-22 07:00:00,23.46,23.88,22.79,25.55
2013-12-22 08:00:00,24.5,24.72,23.95,25.66
2013-12-22 09:00:00,25.94,26.6,25.26,26.55
2013-12-22 10:00:00,26.3,27.61,26.2,28.02
2013-12-22 11:00:00,27.71,29.13,27.53,33.16
2013-12-22 12:00:00,27.85,28.91,27.28,32.96
2013-12-22 13:00:00,27.38,27.84,26.93,28.2
2013-12-22 14:00:00,26.73,27.49,26.99,28.13
2013-12-22 15:00:00,26.91,27.24,26.97,27.64
2013-12-22 16:00:00,26.83,27.25,26.86,27.32
2013-12-22 17:00:00,27.89,28.94,27.43,27.68
2013-12-22 18:00:00,45.72,38.93,43.74,36.07
2013-12-22 19:00:00,32.01,44.28,39.59,41.2
2013-12-22 20:00:00,33.93,44.0,113.36,41.39
2013-12-22 21:00:00,33.18,42.29,38.64,39.82
2013-12-22 22:00:00,31.3,39.03,34.48,37.06
2013-12-22 23:00:00,27.04,32.1,30.53,35.16
2013-12-23 00:00:00,25.29,30.08,27.11,28.33
2013-12-23 01:00:00,24.81,25.52,25.59,31.12
2013-12-23 02:00:00,23.35,25.23,24.84,29.96
2013-12-23 03:00:00,23.13,25.12,23.39,31.08
2013-12-23 04:00:00,22.43,24.84,22.89,31.55
2013-12-23 05:00:00,23.29,24.98,19.83,34.85
2013-12-23 06:00:00,25.37,26.1,22.27,33.92
2013-12-23 07:00:00,25.51,31.1,26.09,34.97
2013-12-23 08:00:00,26.89,35.3,28.55,43.03
2013-12-23 09:00:00,30.51,39.69,30.51,40.6
2013-12-23 10:00:00,31.33,41.25,31.35,41.41
2013-12-23 11:00:00,31.63,41.32,33.17,40.5
2013-12-23 12:00:00,31.99,39.24,31.81,39.76
2013-12-23 13:00:00,29.28,37.2,28.95,35.98
2013-12-23 14:00:00,27.79,34.08,27.43,34.22
2013-12-23 15:00:00,27.67,32.74,27.04,32.76
2013-12-23 16:00:00,27.19,31.61,26.42,31.06
2013-12-23 17:00:00,27.97,32.73,26.33,32.41
2013-12-23 18:00:00,31.5,45.95,30.3,41.19
2013-12-23 19:00:00,36.04,52.11,35.24,50.28
2013-12-23 20:00:00,33.09,48.31,33.8,47.54
2013-12-23 21:00:00,32.14,46.71,36.34,45.81
2013-12-23 22:00:00,33.53,45.01,36.79,42.62
2013-12-23 23:00:00,34.19,41.33,36.16,42.07
2013-12-24 00:00:00,31.95,39.51,35.8,39.65
2013-12-24 01:00:00,27.59,31.18,33.34,32.2
2013-12-24 02:00:00,26.24,27.78,27.13,34.76
2013-12-24 03:00:00,26.27,27.11,27.36,32.23
2013-12-24 04:00:00,26.45,26.72,27.5,30.87
2013-12-24 05:00:00,26.44,26.56,28.58,30.23
2013-12-24 06:00:00,27.72,26.99,28.93,32.25
2013-12-24 07:00:00,30.31,30.86,30.92,33.44
2013-12-24 08:00:00,32.11,31.8,30.47,39.37
2013-12-24 09:00:00,44.52,34.34,42.22,42.3
2013-12-24 10:00:00,36.77,33.02,35.86,41.33
2013-12-24 11:00:00,32.39,32.32,31.49,41.28
2013-12-24 12:00:00,28.27,31.01,26.25,38.87
2013-12-24 13:00:00,26.87,30.54,26.14,40.66
2013-12-24 14:00:00,26.42,27.99,25.23,35.48
2013-12-24 15:00:00,25.3,27.05,23.95,35.56
2013-12-24 16:00:00,24.31,26.66,22.84,35.51
2013-12-24 17:00:00,25.4,27.22,23.86,35.5
2013-12-24 18:00:00,33.26,35.85,30.76,38.6
2013-12-24 19:00:00,33.28,33.78,31.38,41.24
2013-12-24 20:00:00,30.07,33.22,29.03,42.21
2013-12-24 21:00:00,28.94,30.5,28.41,42.25
2013-12-24 22:00:00,28.66,31.12,28.63,41.46
2013-12-24 23:00:00,28.6,27.8,29.87,40.96
2013-12-25 00:00:00,30.07,28.64,30.5,40.81
2013-12-25 01:00:00,27.29,27.78,31.4,37.65
2013-12-25 02:00:00,25.18,28.54,31.61,35.58
2013-12-25 03:00:00,25.67,27.52,29.97,33.31
2013-12-25 04:00:00,25.06,26.95,32.98,33.3
2013-12-25 05:00:00,25.19,27.0,32.74,33.26
2013-12-25 06:00:00,27.14,27.22,69.69,34.74
2013-12-25 07:00:00,26.16,27.79,40.63,35.35
2013-12-25 08:00:00,27.33,27.94,42.36,38.39
2013-12-25 09:00:00,32.27,29.0,69.75,42.08
2013-12-25 10:00:00,39.4,29.14,199.02,41.56
2013-12-25 11:00:00,26.52,28.38,51.1,41.66
2013-12-25 12:00:00,24.96,27.71,30.52,41.07
2013-12-25 13:00:00,24.63,27.06,28.87,40.07
2013-12-25 14:00:00,23.55,26.62,26.96,36.77
2013-12-25 15:00:00,22.6,26.81,22.89,34.62
2013-12-25 16:00:00,20.72,26.41,23.8,33.42
2013-12-25 17:00:00,21.38,26.9,23.45,33.39
2013-12-25 18:00:00,24.65,29.38,24.82,34.2
2013-12-25 19:00:00,28.82,30.73,29.61,37.97
2013-12-25 20:00:00,25.71,29.72,28.37,39.27
2013-12-25 21:00:00,27.12,29.39,32.69,40.28
2013-12-25 22:00:00,25.44,28.23,32.05,39.3
2013-12-25 23:00:00,24.09,27.41,30.7,40.21
2013-12-26 00:00:00,22.28,27.08,26.69,38.1
2013-12-26 01:00:00,20.82,26.62,31.45,39.29
2013-12-26 02:00:00,20.98,26.04,27.72,37.46
2013-12-26 03:00:00,21.42,25.86,26.47,36.81
2013-12-26 04:00:00,21.91,25.57,26.98,37.39
2013-12-26 05:00:00,21.85,25.97,31.76,38.22
2013-12-26 06:00:00,24.29,27.8,29.67,39.13
2013-12-26 07:00:00,29.23,33.72,31.09,38.7
2013-12-26 08:00:00,38.11,40.0,41.08,41.59
2013-12-26 09:00:00,40.53,45.41,44.58,45.32
2013-12-26 10:00:00,37.33,43.03,40.37,42.29
2013-12-26 11:00:00,46.07,44.1,46.2,44.7
2013-12-26 12:00:00,37.49,40.78,36.85,42.23
2013-12-26 13:00:00,37.0,34.72,36.29,37.59
2013-12-26 14:00:00,30.5,31.5,30.22,35.27
2013-12-26 15:00:00,29.55,30.2,29.07,34.34
2013-12-26 16:00:00,28.35,29.94,27.9,31.9
2013-12-26 17:00:00,28.6,30.15,27.9,33.94
2013-12-26 18:00:00,33.68,44.11,31.55,36.66
2013-12-26 19:00:00,41.04,50.05,39.66,41.58
2013-12-26 20:00:00,37.93,46.95,37.26,45.34
2013-12-26 21:00:00,37.01,44.02,37.03,43.07
2013-12-26 22:00:00,34.21,43.81,34.61,41.58
2013-12-26 23:00:00,30.48,37.71,30.99,38.08
2013-12-27 00:00:00,26.82,32.4,30.21,33.85
2013-12-27 01:00:00,25.47,28.67,33.98,33.59
2013-12-27 02:00:00,25.99,28.06,30.03,32.94
2013-12-27 03:00:00,25.25,27.15,30.94,33.45
2013-12-27 04:00:00,25.03,26.38,32.04,35.19
2013-12-27 05:00:00,26.18,26.69,31.43,35.57
2013-12-27 06:00:00,26.26,28.69,31.33,40.79
2013-12-27 07:00:00,32.1,35.62,32.14,42.11
2013-12-27 08:00:00,28.54,38.41,41.08,50.94
2013-12-27 09:00:00,51.27,38.27,52.11,43.83
2013-12-27 10:00:00,31.37,38.65,38.38,40.31
2013-12-27 11:00:00,28.47,37.52,37.94,38.26
2013-12-27 12:00:00,26.76,35.92,34.19,37.06
2013-12-27 13:00:00,28.2,31.01,36.43,32.95
2013-12-27 14:00:00,26.59,29.89,27.02,31.82
