MARKET_DAY,NODE,TYPE,VALUE,HE1,HE2,HE3,HE4,HE5,HE6,HE7,HE8,HE9,HE10,HE11,HE12,HE13,HE14,HE15,HE16,HE17,HE18,HE19,HE20,HE21,HE22,HE23,HE24
4/1/2013,MICHIGAN.HUB,Hub,LMP,25.26,25.01,25.35,26.08,36.51,31.6,38.02,38.7,41.85,39.89,39.69,38.87,35.99,34.63,30.93,28.39,28.5,29.41,34.53,45.95,44.37,34.47,29.36,28.8
4/2/2013,MICHIGAN.HUB,Hub,LMP,26.95,26.23,26.09,26.19,27.94,38.69,45.48,48.75,43.27,41.83,40.81,38.6,37.02,35.22,31.25,29.71,29.89,30.33,31.6,43.52,44.1,35.08,29.19,26.25
4/3/2013,MICHIGAN.HUB,Hub,LMP,29.59,32.83,31.34,30.72,31.48,39.42,48.26,48.47,43.87,42.32,38.2,36.87,39.92,35.83,30.29,29.47,29.33,28.97,30.41,40.87,39.4,28.54,28.65,28.84
4/4/2013,MICHIGAN.HUB,Hub,LMP,31.32,29.76,28.71,28.15,29.28,43.19,47.26,48.46,44.65,45.33,41.0,39.37,38.76,35.87,35.09,34.5,33.2,33.47,31.71,46.57,46.04,35.39,31.08,30.11
4/5/2013,MICHIGAN.HUB,Hub,LMP,25.74,25.25,25.29,26.67,27.64,38.37,40.34,47.98,41.14,40.29,37.44,34.27,33.47,31.37,29.93,28.67,28.44,27.86,27.7,41.72,39.8,30.73,29.68,28.43
4/6/2013,MICHIGAN.HUB,Hub,LMP,27.7,28.57,27.84,27.4,27.16,27.39,27.92,31.44,36.82,35.85,34.1,30.7,26.83,25.93,25.38,25.34,25.52,25.94,26.39,37.5,33.65,27.27,26.49,25.25
4/7/2013,MICHIGAN.HUB,Hub,LMP,25.85,25.44,25.29,24.92,24.87,24.67,26.06,28.8,34.98,35.34,34.18,32.68,29.02,27.34,27.07,27.15,27.98,29.27,30.4,43.29,41.27,30.68,29.56,29.07
4/8/2013,MICHIGAN.HUB,Hub,LMP,34.9,29.79,30.33,30.08,32.02,39.68,39.81,44.87,42.98,45.24,44.62,44.58,41.51,40.7,40.6,35.24,33.95,34.33,36.26,47.32,43.05,34.24,29.06,28.12
4/9/2013,MICHIGAN.HUB,Hub,LMP,28.02,25.63,25.67,26.29,28.2,36.85,39.29,42.51,43.33,43.35,44.01,43.4,43.44,42.75,41.02,37.47,36.6,35.69,36.32,46.35,45.84,35.72,30.06,26.96
4/10/2013,MICHIGAN.HUB,Hub,LMP,25.81,23.44,23.0,23.82,25.23,35.23,41.07,41.65,40.19,41.66,40.57,40.21,41.17,42.08,39.47,35.95,35.43,31.55,31.61,42.56,39.64,31.92,27.96,26.55
