MARKET_DAY,NODE,TYPE,VALUE,HE1,HE2,HE3,HE4,HE5,HE6,HE7,HE8,HE9,HE10,HE11,HE12,HE13,HE14,HE15,HE16,HE17,HE18,HE19,HE20,HE21,HE22,HE23,HE24
12/19/2013,LOUISIANA.HUB,Hub,LMP,23.25,24.07,25.35,30.12,25.78,28.95,31.9,39.03,37.51,33.51,34.28,30.23,28.23,27.58,27.73,27.09,27.05,34.44,49.67,42.4,37.76,36.66,31.9,30.41
12/20/2013,LOUISIANA.HUB,Hub,LMP,23.01,25.9,25.34,25.23,25.44,26.14,30.01,42.15,37.83,38.83,37.8,34.29,31.85,33.83,35.31,35.42,34.07,32.92,39.5,39.69,35.96,33.97,33.3,30.4
12/21/2013,LOUISIANA.HUB,Hub,LMP,25.71,25.57,24.54,24.06,23.41,23.67,24.91,25.82,28.49,39.71,38.75,40.62,35.86,33.7,32.28,28.92,29.21,38.52,35.43,34.5,32.62,29.27,28.3,27.03
12/22/2013,LOUISIANA.HUB,Hub,LMP,174.55,23.28,24.02,23.79,22.57,22.75,22.79,23.95,25.26,26.2,27.53,27.28,26.93,26.99,26.97,26.86,27.43,43.74,39.59,113.36,38.64,34.48,30.53,27.11
12/23/2013,LOUISIANA.HUB,Hub,LMP,25.59,24.84,23.39,22.89,19.83,22.27,26.09,28.55,30.51,31.35,33.17,31.81,28.95,27.43,27.04,26.42,26.33,30.3,35.24,33.8,36.34,36.79,36.16,35.8
12/24/2013,LOUISIANA.HUB,Hub,LMP,33.34,27.13,27.36,27.5,28.58,28.93,30.92,30.47,42.22,35.86,31.49,26.25,26.14,25.23,23.95,22.84,23.86,30.76,31.38,29.03,28.41,28.63,29.87,30.5
12/25/2013,LOUISIANA.HUB,Hub,LMP,31.4,31.61,29.97,32.98,32.74,69.69,40.63,42.36,69.75,199.02,51.1,30.52,28.87,26.96,22.89,23.8,23.45,24.82,29.61,28.37,32.69,32.05,30.7,26.69
12/26/2013,LOUISIANA.HUB,Hub,LMP,31.45,27.72,26.47,26.98,31.76,29.67,31.09,41.08,44.58,40.37,46.2,36.85,36.29,30.22,29.07,27.9,27.9,31.55,39.66,37.26,37.03,34.61,30.99,30.21
12/27/2013,LOUISIANA.HUB,Hub,LMP,33.98,30.03,30.94,32.04,31.43,31.33,32.14,41.08,52.11,38.38,37.94,34.19,36.43,27.02,29.33,28.3,29.58,37.88,46.82,43.29,35.55,32.51,32.6,29.18
12/28/2013,LOUISIANA.HUB,Hub,LMP,27.62,24.71,24.37,23.2,28.47,27.41,27.95,29.31,30.57,33.56,36.35,37.2,39.07,36.92,34.84,32.31,31.29,36.48,131.16,54.34,37.72,37.52,34.78,30.87
12/29/2013,LOUISIANA.HUB,Hub,LMP,29.94,25.38,26.01,25.77,27.47,28.26,29.62,31.6,34.2,35.92,30.68,28.87,27.09,26.64,26.63,26.75,27.4,44.49,188.01,33.15,41.49,58.43,39.81,31.77
12/30/2013,LOUISIANA.HUB,Hub,LMP,28.33,27.44,27.72,27.34,27.05,28.58,32.19,38.74,45.86,37.74,38.06,36.06,36.76,42.34,34.76,32.09,31.5,37.37,43.01,39.19,35.16,34.27,31.61,33.68
12/31/2013,LOUISIANA.HUB,Hub,LMP,31.53,28.97,28.37,28.46,28.0,29.18,35.33,81.59,57.94,42.9,47.03,46.2,36.16,33.64,32.17,30.99,32.67,40.56,202.97,50.92,36.53,33.51,33.13,30.04
4/1/2014,LOUISIANA.HUB,Hub,LMP,37.54,17.87,25.46,25.89,26.1,29.38,35.52,31.88,30.83,34.46,32.28,30.27,31.61,31.74,37.67,35.23,39.87,37.61,44.6,93.17,41.78,35.5,32.73,29.97
4/2/2014,LOUISIANA.HUB,Hub,LMP,28.83,28.04,27.12,26.6,28.63,25.53,48.29,33.96,40.41,33.19,55.37,35.38,33.72,35.62,36.94,37.95,64.63,49.6,38.25,36.86,34.01,33.36,32.72,34.5
4/3/2014,LOUISIANA.HUB,Hub,LMP,29.14,25.8,24.64,24.42,25.51,25.68,21.56,36.41,37.41,40.14,12.18,7.45,34.42,102.76,37.86,52.86,44.4,46.11,41.72,43.62,18.89,33.67,28.8,28.39
4/4/2014,LOUISIANA.HUB,Hub,LMP,30.57,25.2,26.48,25.14,24.7,29.97,46.25,39.29,40.08,42.35,42.78,41.77,38.15,52.86,39.38,40.14,33.81,31.79,33.29,34.67,40.99,38.62,35.08,31.34
4/5/2014,LOUISIANA.HUB,Hub,LMP,30.34,28.77,27.94,27.79,27.34,28.01,29.64,31.2,33.42,30.81,27.97,28.03,27.73,26.43,24.84,26.28,26.39,27.07,27.75,32.44,32.17,29.82,29.11,29.12
4/6/2014,LOUISIANA.HUB,Hub,LMP,29.74,33.7,32.71,26.35,27.13,38.57,32.44,32.98,32.37,29.32,28.93,28.63,28.67,28.83,29.09,29.08,29.7,31.47,33.89,41.34,37.84,31.94,29.95,28.18
4/7/2014,LOUISIANA.HUB,Hub,LMP,31.33,26.56,26.57,26.57,28.15,37.82,56.57,40.87,40.87,92.4,44.23,54.42,60.56,42.41,39.32,42.14,46.42,42.83,43.18,47.46,50.83,38.52,33.48,47.0
4/8/2014,LOUISIANA.HUB,Hub,LMP,21.2,22.53,25.37,22.5,27.02,39.47,55.76,36.22,34.13,31.5,30.34,29.91,29.0,28.94,27.75,27.49,28.17,28.56,30.08,37.4,39.86,33.06,29.49,27.62
4/9/2014,LOUISIANA.HUB,Hub,LMP,26.26,25.71,25.62,26.01,27.71,64.52,51.13,44.98,38.25,33.92,29.77,29.66,28.92,29.68,27.92,27.85,28.93,29.13,29.05,32.01,39.85,98.21,75.28,25.19
4/10/2014,LOUISIANA.HUB,Hub,LMP,17.13,20.06,25.23,26.07,25.62,31.91,41.67,39.89,37.88,32.52,30.23,28.4,28.21,28.19,29.56,29.91,34.74,31.99,34.46,72.79,40.85,38.6,30.19,28.68
4/11/2014,LOUISIANA.HUB,Hub,LMP,26.43,25.46,23.99,26.8,24.61,27.37,33.89,35.47,41.81,41.71,38.55,65.08,47.31,43.85,33.8,164.05,52.65,59.28,36.39,34.42,37.86,35.63,42.18,30.45
4/12/2014,LOUISIANA.HUB,Hub,LMP,36.5,33.7,29.19,24.71,26.16,26.39,28.52,27.68,29.7,30.55,30.93,32.08,31.68,79.95,40.09,41.0,34.36,38.04,37.74,44.15,39.14,37.96,29.57,24.58
4/13/2014,LOUISIANA.HUB,Hub,LMP,23.43,29.88,29.55,28.19,26.84,26.94,27.37,28.23,31.61,35.96,39.65,-4.57,31.46,34.87,35.37,36.41,38.06,39.21,34.83,39.0,40.0,34.03,32.25,43.93
4/14/2014,LOUISIANA.HUB,Hub,LMP,34.24,30.73,28.54,28.09,28.56,39.09,42.61,22.57,37.43,32.76,39.01,44.51,50.07,45.82,49.84,44.77,33.07,37.98,36.41,37.12,39.17,34.11,30.66,28.07
4/15/2014,LOUISIANA.HUB,Hub,LMP,22.88,26.67,25.74,26.64,27.71,37.74,53.98,81.11,39.48,39.56,35.6,33.99,32.69,30.46,30.25,28.46,27.44,27.82,29.9,10.36,33.35,29.68,33.13,32.45
4/16/2014,LOUISIANA.HUB,Hub,LMP,31.98,38.21,27.48,30.88,28.1,12.72,52.38,42.22,35.41,35.66,32.49,31.64,30.85,31.0,30.63,20.75,27.43,25.08,26.61,31.63,34.98,32.97,24.94,28.02
4/17/2014,LOUISIANA.HUB,Hub,LMP,27.25,28.07,28.23,29.04,30.0,34.32,60.03,42.93,44.41,39.2,39.82,36.79,36.6,36.86,35.25,34.43,32.68,32.84,33.57,38.75,41.51,37.7,42.8,31.09
4/18/2014,LOUISIANA.HUB,Hub,LMP,28.97,27.9,27.2,25.49,26.37,28.21,29.95,35.99,38.88,37.02,37.21,42.25,40.0,43.16,39.43,41.09,40.54,39.25,37.41,52.9,164.9,36.82,33.98,28.79
4/19/2014,LOUISIANA.HUB,Hub,LMP,28.16,22.81,26.19,26.38,25.86,26.95,26.99,24.6,27.53,25.07,22.21,26.66,31.05,34.4,37.36,40.38,41.8,41.73,38.98,39.14,45.81,39.04,31.47,41.77
4/20/2014,LOUISIANA.HUB,Hub,LMP,27.94,28.59,27.27,26.97,26.03,26.78,26.66,28.06,30.67,31.54,32.75,34.72,37.37,36.22,36.47,39.41,39.7,41.32,39.36,41.22,40.22,35.99,35.59,31.84
4/21/2014,LOUISIANA.HUB,Hub,LMP,28.6,28.53,28.1,27.6,27.9,30.75,37.02,38.97,46.73,42.17,46.89,42.59,40.64,42.21,44.28,46.18,45.06,44.6,42.36,84.49,43.31,39.31,37.98,31.43
4/22/2014,LOUISIANA.HUB,Hub,LMP,29.15,27.95,27.15,28.32,29.12,35.93,36.27,39.88,34.22,35.48,38.04,38.08,48.16,41.51,33.14,36.68,42.21,41.62,40.58,43.57,48.47,36.38,34.6,31.57
4/23/2014,LOUISIANA.HUB,Hub,LMP,29.05,27.34,26.25,27.44,27.66,30.22,38.92,42.78,37.54,37.76,42.12,42.33,51.78,88.45,110.02,80.91,114.1,476.15,1529.62,1746.73,2330.18,2122.53,154.14,44.87
4/24/2014,LOUISIANA.HUB,Hub,LMP,43.84,35.85,34.18,31.35,32.96,37.23,38.21,30.13,45.57,37.34,35.35,38.92,65.61,56.54,47.9,44.48,56.62,42.01,40.95,110.9,44.07,36.94,37.39,34.22
4/25/2014,LOUISIANA.HUB,Hub,LMP,34.88,31.11,31.35,30.35,32.37,37.67,34.17,36.2,44.92,44.29,44.92,45.27,47.04,53.66,52.02,77.27,70.16,62.24,38.73,46.96,56.03,36.37,20.93,24.92
4/26/2014,LOUISIANA.HUB,Hub,LMP,25.32,25.98,23.56,24.81,23.63,25.04,26.86,27.41,32.46,28.58,36.25,40.75,43.2,38.53,45.38,44.78,45.22,45.29,43.58,38.4,38.33,37.4,42.69,40.57
4/27/2014,LOUISIANA.HUB,Hub,LMP,42.92,38.65,37.52,37.49,34.78,37.98,30.28,33.26,44.35,44.92,44.66,45.01,47.85,46.25,47.97,54.25,45.08,44.93,45.37,248.5,441.15,53.14,44.73,43.04
4/28/2014,LOUISIANA.HUB,Hub,LMP,44.14,40.39,39.49,38.11,40.13,44.62,77.51,42.39,44.06,43.86,43.17,43.67,43.34,42.37,52.7,49.18,55.97,47.76,44.49,46.56,51.77,60.96,47.88,59.35
4/29/2014,LOUISIANA.HUB,Hub,LMP,41.52,38.83,34.07,29.95,28.19,63.58,107.92,46.12,43.13,43.17,44.56,43.65,39.96,45.03,41.19,38.96,44.3,40.97,43.82,47.03,83.23,39.72,36.52,30.88
4/30/2014,LOUISIANA.HUB,Hub,LMP,30.09,27.32,26.5,25.66,27.31,34.48,38.78,37.72,61.01,35.0,35.1,41.95,35.85,43.88,37.04,35.17,33.59,36.36,37.91,43.23,42.34,33.94,27.17,26.65
5/1/2014,LOUISIANA.HUB,Hub,LMP,27.45,26.61,26.3,24.91,27.95,33.0,39.47,39.95,34.88,30.38,30.95,32.26,28.72,31.69,30.58,34.27,36.71,36.23,35.5,269.27,174.07,40.63,27.9,29.15
5/2/2014,LOUISIANA.HUB,Hub,LMP,26.18,25.65,24.86,24.83,26.49,30.26,33.83,33.09,31.61,33.2,35.26,35.38,34.3,31.88,28.2,30.12,46.6,32.57,30.49,33.01,38.07,33.04,31.48,28.23
5/3/2014,LOUISIANA.HUB,Hub,LMP,28.25,28.01,26.93,26.7,42.27,29.26,29.42,36.77,42.33,42.55,37.98,36.37,32.57,33.08,34.39,38.55,74.75,44.74,39.41,38.91,58.99,48.89,41.09,33.41
5/4/2014,LOUISIANA.HUB,Hub,LMP,27.06,25.52,25.08,24.33,24.82,24.71,24.75,27.02,27.59,29.04,30.79,29.96,33.75,37.92,43.25,42.69,46.62,46.02,45.42,39.68,42.08,38.6,32.63,31.57
5/5/2014,LOUISIANA.HUB,Hub,LMP,27.56,25.7,25.32,26.45,28.6,31.91,35.67,41.12,38.85,39.68,39.81,52.42,43.99,46.55,65.08,60.86,73.0,77.73,51.0,60.46,48.99,42.81,30.51,5.97
5/6/2014,LOUISIANA.HUB,Hub,LMP,45.88,26.1,25.16,27.02,27.48,26.87,29.71,33.61,37.65,38.06,38.55,43.12,30.13,40.82,38.65,42.51,46.03,44.94,43.87,40.8,44.77,38.68,37.23,31.89
5/7/2014,LOUISIANA.HUB,Hub,LMP,30.16,15.68,24.62,24.43,23.65,27.4,32.08,34.91,40.34,42.56,44.54,45.16,44.94,47.31,52.73,51.1,49.71,49.09,47.81,47.04,48.26,46.09,43.71,37.62
5/8/2014,LOUISIANA.HUB,Hub,LMP,35.72,35.59,30.72,29.08,30.03,36.24,38.69,39.5,54.82,58.11,52.82,46.59,46.95,46.51,46.19,45.6,47.39,45.5,54.56,50.34,70.96,50.18,48.29,43.35
5/9/2014,LOUISIANA.HUB,Hub,LMP,41.55,41.82,39.84,36.76,22.76,21.11,37.01,37.27,38.29,34.79,37.93,36.47,33.41,35.45,35.83,35.91,34.42,31.59,32.53,32.72,35.99,36.31,32.71,29.99
