MARKET_DAY,NODE,TYPE,VALUE,HE1,HE2,HE3,HE4,HE5,HE6,HE7,HE8,HE9,HE10,HE11,HE12,HE13,HE14,HE15,HE16,HE17,HE18,HE19,HE20,HE21,HE22,HE23,HE24
4/1/2013,MICHIGAN.HUB,Hub,LMP,17.87,20.99,22.94,19.83,26.36,33.03,29.56,32.32,36.68,40.51,33.27,36.79,31.08,27.15,30.95,27.19,32.98,32.71,34.05,947.39,137.9,28.88,25.14,26.22
4/2/2013,MICHIGAN.HUB,Hub,LMP,30.23,35.68,32.66,32.7,31.27,36.15,47.79,41.33,33.69,30.91,36.81,40.45,38.56,35.63,27.43,26.69,27.49,26.73,25.81,100.06,51.1,48.26,42.43,62.93
4/3/2013,MICHIGAN.HUB,Hub,LMP,69.36,48.17,40.59,55.69,33.32,45.61,32.5,29.17,39.02,30.53,35.54,29.46,28.91,31.1,28.42,72.51,28.81,27.46,33.54,33.88,36.21,26.25,42.64,33.37
4/4/2013,MICHIGAN.HUB,Hub,LMP,31.24,23.73,25.47,24.37,26.11,33.23,32.73,55.57,71.82,28.19,29.93,28.61,29.12,32.95,29.08,29.43,27.37,27.68,25.76,101.47,33.82,27.01,24.36,32.72
4/5/2013,MICHIGAN.HUB,Hub,LMP,28.97,35.0,24.13,25.71,27.51,34.33,50.86,30.9,29.03,28.29,31.5,44.05,40.13,78.43,42.87,30.37,27.89,29.55,26.24,70.52,29.21,27.96,29.19,28.46
4/6/2013,MICHIGAN.HUB,Hub,LMP,124.78,34.94,33.68,30.11,29.42,75.38,46.87,84.7,52.36,35.92,43.27,28.11,27.82,27.42,26.64,30.35,63.12,32.62,39.05,55.18,46.15,25.75,24.26,26.25
4/7/2013,MICHIGAN.HUB,Hub,LMP,23.23,27.06,24.85,25.33,24.77,23.7,23.35,32.53,26.73,81.18,68.85,39.42,47.97,23.66,25.32,36.19,89.03,32.05,41.24,39.65,29.4,36.55,41.62,48.92
4/8/2013,MICHIGAN.HUB,Hub,LMP,42.56,30.86,27.18,27.63,34.74,25.41,29.65,32.41,45.87,38.85,50.47,78.96,56.08,31.9,49.65,34.07,34.94,35.26,35.86,45.45,38.09,48.94,24.1,27.18
4/9/2013,MICHIGAN.HUB,Hub,LMP,24.84,26.06,23.27,24.71,27.34,72.83,53.96,43.39,31.24,34.45,37.16,39.1,48.99,46.16,38.21,32.09,38.65,34.75,33.85,37.21,35.57,30.04,27.6,25.66
4/10/2013,MICHIGAN.HUB,Hub,LMP,15.84,23.69,24.08,24.25,27.94,28.98,111.64,33.67,33.07,96.61,119.11,51.78,41.56,80.96,52.43,111.32,38.87,34.42,33.73,48.62,29.7,98.86,28.61,30.14
4/11/2013,MICHIGAN.HUB,Hub,LMP,25.57,26.54,26.58,27.34,27.93,32.38,43.88,48.45,34.67,59.64,36.91,42.46,57.04,38.51,74.17,131.64,47.43,48.89,39.14,50.27,41.5,33.54,30.55,44.3
4/12/2013,MICHIGAN.HUB,Hub,LMP,27.1,27.91,34.58,37.44,55.17,45.6,49.03,29.28,35.59,38.69,42.09,41.15,52.04,28.42,46.99,28.15,28.13,26.66,25.13,28.08,42.01,31.65,25.41,38.77
4/13/2013,MICHIGAN.HUB,Hub,LMP,28.9,25.3,27.25,29.52,28.17,31.13,27.03,33.82,50.89,39.6,53.26,56.2,38.53,33.34,32.18,33.19,30.41,30.63,31.99,99.4,35.41,37.98,25.69,42.63
4/14/2013,MICHIGAN.HUB,Hub,LMP,42.63,25.63,29.39,26.63,40.78,26.61,28.77,46.88,26.8,90.61,23.32,25.34,31.21,25.95,28.28,27.72,88.77,25.48,31.46,40.32,36.96,31.09,27.77,26.6
4/15/2013,MICHIGAN.HUB,Hub,LMP,29.8,30.5,25.3,25.23,25.14,39.84,34.22,29.33,31.41,33.92,43.5,35.97,37.77,33.5,36.9,27.54,31.08,30.62,48.55,202.71,52.8,61.84,25.03,26.24
4/16/2013,MICHIGAN.HUB,Hub,LMP,38.82,25.41,27.71,28.27,30.07,29.75,34.09,40.77,36.46,45.91,54.19,34.62,50.72,46.37,37.06,53.5,47.65,45.76,33.44,31.68,39.21,28.96,27.52,36.8
4/17/2013,MICHIGAN.HUB,Hub,LMP,26.56,28.58,26.12,30.33,30.17,30.78,52.91,33.36,34.99,53.56,50.76,28.64,37.81,27.35,28.47,34.24,30.48,31.25,33.69,72.67,37.79,24.13,30.6,29.3
4/18/2013,MICHIGAN.HUB,Hub,LMP,31.68,27.04,25.34,26.92,27.3,41.16,33.98,54.26,33.43,33.28,42.35,64.18,38.73,59.46,42.76,59.19,56.68,43.43,49.18,30.83,32.62,28.01,24.63,27.38
4/19/2013,MICHIGAN.HUB,Hub,LMP,25.55,25.35,24.9,26.44,28.26,25.07,35.28,30.78,52.93,70.1,53.64,70.75,41.56,72.02,75.34,43.74,33.41,31.15,31.69,49.89,33.97,49.68,30.43,34.88
4/20/2013,MICHIGAN.HUB,Hub,LMP,32.86,61.62,27.75,44.57,24.63,42.81,27.36,34.9,31.87,33.63,32.08,38.59,35.22,28.56,28.34,28.09,27.58,27.1,26.83,31.18,46.46,39.65,45.19,34.74
4/21/2013,MICHIGAN.HUB,Hub,LMP,39.42,28.5,28.1,50.83,30.11,24.78,30.79,45.58,48.96,43.31,27.53,28.6,25.72,25.71,24.99,27.27,27.51,27.82,32.43,106.52,40.69,27.85,25.91,27.26
4/22/2013,MICHIGAN.HUB,Hub,LMP,25.08,25.27,25.64,27.1,24.59,35.72,35.01,33.65,46.4,37.92,41.05,48.02,38.7,33.29,24.36,24.36,30.06,27.91,27.05,30.75,29.59,31.4,27.69,25.87
4/23/2013,MICHIGAN.HUB,Hub,LMP,29.1,29.26,22.11,26.19,26.81,43.83,27.32,33.42,47.69,37.58,108.34,36.05,39.44,34.46,29.08,30.95,31.3,33.61,30.43,161.06,32.14,37.03,31.43,58.25
4/24/2013,MICHIGAN.HUB,Hub,LMP,26.56,26.01,26.77,27.51,27.09,31.76,31.63,39.82,39.17,44.87,35.61,35.14,33.17,36.05,36.2,29.36,29.84,31.68,29.64,74.11,34.99,30.9,22.73,31.02
4/25/2013,MICHIGAN.HUB,Hub,LMP,29.05,31.57,27.05,29.81,28.76,28.32,31.81,40.32,34.52,38.08,61.12,45.03,31.8,31.22,29.76,28.79,32.37,26.59,30.7,43.29,84.91,28.37,24.2,26.29
4/26/2013,MICHIGAN.HUB,Hub,LMP,22.94,28.3,23.65,27.88,35.08,49.55,34.65,26.42,31.02,104.08,27.21,53.39,29.31,29.85,26.88,27.08,26.17,25.91,24.8,25.33,27.56,22.62,24.73,28.1
4/27/2013,MICHIGAN.HUB,Hub,LMP,25.69,25.28,25.45,24.64,24.92,26.38,29.86,29.39,49.98,32.02,28.55,27.95,33.38,32.49,35.59,34.28,39.4,39.82,41.48,41.45,35.75,31.57,24.31,27.52
4/28/2013,MICHIGAN.HUB,Hub,LMP,40.19,29.14,27.09,23.19,23.48,22.11,22.36,26.89,29.45,31.22,30.26,27.95,28.71,29.38,30.32,30.89,29.32,41.35,30.07,68.27,30.39,28.57,26.13,25.26
4/29/2013,MICHIGAN.HUB,Hub,LMP,29.54,24.74,27.58,24.92,25.11,43.6,30.62,67.56,50.98,37.19,48.97,40.49,57.09,48.02,37.65,51.42,37.21,36.69,28.29,32.57,28.33,25.84,22.92,24.81
4/30/2013,MICHIGAN.HUB,Hub,LMP,25.29,21.63,22.7,23.08,30.11,54.28,40.31,26.06,29.3,32.44,33.58,34.45,36.26,32.49,56.91,41.85,29.93,32.01,27.15,25.9,30.9,24.44,27.47,26.73
5/1/2013,MICHIGAN.HUB,Hub,LMP,24.26,26.37,26.8,41.73,34.62,51.01,33.5,64.88,32.46,60.42,47.77,44.2,43.63,45.66,42.09,83.27,41.38,60.32,56.64,95.82,66.03,27.9,33.13,30.32
